"source","target","target_type","exclude_from_all","target_family","production","win32ide","deep2","test","benchmark","conditional","duplicate_family","stub_risk","line"
"src/core/rawrengine_command_handlers.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/rawrxd_state_mmf.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/rawrxd_subsystem_api.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/rdna3_stubs.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","true","5079"
"src/core/reasoning_profile.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/reasoning_schema_versioning.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/RichEditEditorEngine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/safe_refactor_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/sandbox_integration.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/sdma/sdma_coordinator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/sdma/sdma_ring_allocator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/sdma/sdma_scheduler.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/self_host_engine.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/core/self_host_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/semantic_code_intelligence.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
