NAME                                 ID         SIZE
Qwen3.8-Flash-Next-AD-IQ1_M-M64      cae8713a     79.1 GB
Codestral-22B-v0.1-Q4_K_M            246dbbbc     11.8 GB
Phi-3-mini-4k-instruct-q8_0          dc270000      2.0 GB
llama3.2-3b-Q2_K                     11fd64f8      1.3 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       81ea6fea      3.9 GB
Qwen3.8-27B-AD-Q4_K_M                a195ee05     15.9 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     4cfbf222      4.7 GB
gemma-4-E4B-it-Q4_K_M                88bd7d66      5.0 GB
Phi-3-medium-128k-instruct-Q4_K_M    57383124      8.0 GB
Codestral-22B-v0.1-Q4_K_M            79e9414b     11.8 GB
qwen2.5-coder-14b-instruct-q8_0      b8d9671b     14.6 GB
BigDaddyG-Q2_K-ULTRA                 ed412336     23.7 GB
GLM-4.7-Flash-Q4_K_M                 667c3068     16.9 GB
Phi-3-mini-4k-instruct-q8_0          11434ebd      2.0 GB
llama3.2-3b-Q2_K                     1af84c57      1.3 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       04275bc2      3.9 GB
Qwen3.8-27B-AD-Q4_K_M                2458762a     15.9 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     b8dda478      4.7 GB
gemma-4-E4B-it-Q4_K_M                5afbcb0f      5.0 GB
Phi-3-medium-128k-instruct-Q4_K_M    e6e1644b      8.0 GB
Codestral-22B-v0.1-Q4_K_M            0dd9b840     11.8 GB
qwen2.5-coder-14b-instruct-q8_0      8621eddf     14.6 GB
BigDaddyG-Q2_K-ULTRA                 26bcecd9     23.7 GB
GLM-4.7-Flash-Q4_K_M                 2ab83625     16.9 GB
tinyllama-1.1b-chat-v1.0.Q4_K_M      1f526a45    637.8 MB
Codestral-22B-v0.1-Q4_K_M            da3dd487     11.8 GB
claude-3-sonnet                      c1b291ee      0.0 KB
gpt-4-turbo                          ffb68da6      0.0 KB
meta-llama-3.1-8b-instruct           d53a03f9      0.0 KB
gemma3-1b-Q2_K                       aedc7964    666.7 MB
llama3.2-3b-Q2_K                     72519d05      1.3 GB
llama3.2-3b-Q3_K_S                   2f9e0f14      1.4 GB
phi3-mini-Q2_K                       71463b41      1.4 GB
chaos_test                           e632a98a      0.0 KB
test2                                7509c121      0.0 KB
frag                                 7d786f97      4.0 GB
tinyllama_fresh                      8eb3727e    608.2 MB
_test_model                          a4303b4d    532.8 KB
unlock-125M-Q2_K                     2a7b16f7      1.9 GB
tinyllama_fresh                      4057f169    608.2 MB
