"Name","PID","CPU","WorkingSet_MB","PrivateMemory_MB","VirtualMemory_MB","Commit_MB","PageFile_MB"
"svchost","3988",,"4","1.9","2101335.3","1.9","0"
"svchost","4076",,"1.7","2.8","2101341.8","2.8","0"
"svchost","4084",,"3.4","2.4","2101390.3","2.4","0"
"svchost","4152",,"9.9","5.4","2101363","5.4","0"
"svchost","4188",,"1.9","1.7","2101333.4","1.7","0"
"svchost","4212",,"2.7","2.2","2101338.7","2.2","0"
"svchost","4308",,"2.2","1.9","2101330.2","1.9","0"
"svchost","4436",,"2.5","2.9","2101340.7","2.9","0"
"svchost","4444",,"6.4","2.5","2101358.8","2.5","0"
"svchost","4464",,"2.6","4","2101356","4","0"
"svchost","4680",,"6.5","6.2","2101378.8","6.2","0"
"svchost","4720",,"1.6","2.8","2101347.8","2.8","0"
"svchost","4920",,"9.1","14.5","2101379.9","14.5","0"
"svchost","4976",,"2.6","2","2101340.6","2","0"
"svchost","5060",,"17.7","16.4","2101387.5","16.4","0"
"svchost","5168",,"11","5","2101889.2","5","0"
"svchost","5188",,"36.8","45.3","2101852.7","45.3","0"
"svchost","5196",,"36.5","31.3","2101514.9","31.3","0"
"svchost","5244",,"5.3","4.5","2101382.5","4.5","0"
"svchost","5276",,"2","3.1","2102373.4","3.1","0"
"svchost","5312",,"26.3","21.7","2101476","21.7","0"
"svchost","5328",,"0.7","1.5","2101328.4","1.5","0"
"svchost","5352",,"1.5","1.9","2101336.9","1.9","0"
"svchost","5528",,"4.3","2.4","2101345.3","2.4","0"
"svchost","5676",,"3.9","2.5","2101343.7","2.5","0"
"svchost","6044",,"4.2","3.2","2101352.2","3.2","0"
"svchost","6068",,"9.3","9.2","2101394.6","9.2","0"
"svchost","6320","3.296875","8.7","10.5","2101392","10.5","0"
"svchost","7408",,"1.1","1.7","2101329.8","1.7","0"
"svchost","7484",,"3.4","2.4","2101356.1","2.4","0"
"svchost","7532",,"1.2","1.6","2101335.3","1.6","0"
"svchost","7700",,"1.4","2.5","2101342.3","2.5","0"
"svchost","7972","51.734375","22","11.9","2101465","11.9","0"
"svchost","7992",,"4","2.7","2101346.2","2.7","0"
"svchost","8016",,"3.3","3.4","2101343.7","3.4","0"
"svchost","8104",,"4.3","2.5","2101336.9","2.5","0"
"svchost","8268",,"1.3","2","2101332.3","2","0"
"svchost","8460",,"25.2","12.6","2101426.1","12.6","0"
"svchost","9028",,"24.3","24","2101405.7","24","0"
"svchost","9080",,"13.4","4.8","2101377.4","4.8","0"
"svchost","9100",,"2.9","3.4","2101353.9","3.4","0"
"svchost","9172",,"13.6","6.4","2101397.5","6.4","0"
"svchost","9620","0.03125","1.1","1.3","2101347.9","1.3","0"
"svchost","10092",,"3.7","1.9","2101334.3","1.9","0"
"svchost","10800",,"1.1","1.4","2101327.3","1.4","0"
"svchost","10892","4.1875","8.9","4.8","2101422.2","4.8","0"
"svchost","11072",,"1.3","1.8","2101336.4","1.8","0"
"svchost","11324","0.453125","3.2","3.9","2101405.1","3.9","0"
"svchost","11540",,"4","7.3","2102388.8","7.3","0"
"svchost","11584","0.359375","1.4","2.7","2101363.9","2.7","0"
"svchost","11792","0.28125","1.6","1.9","2101358","1.9","0"
"svchost","15356",,"9.1","11.9","2101953.7","11.9","0"
"svchost","17024","6.78125","4.9","3.7","2101393.3","3.7","0"
"svchost","18108",,"3.9","3.8","2101356.9","3.8","0"
"svchost","19724",,"5.3","7.2","2101376.7","7.2","0"
"svchost","20884",,"1.8","1.8","2101330.8","1.8","0"
"System","4",,"7.4","0.6","284.8","0.6","0"
"SystemSettings","17276","2.34375","0.3","98.5","2105339.9","98.5","0.1"
"taskhostw","4036","27.4375","13.5","10.3","2101899.6","10.3","0"
"taskhostw","12496","0.34375","9.3","6.5","2101396.1","6.5","0"
"TextInputHost","20420","109.875","27.3","114.6","2135410.9","114.6","0.1"
"unsecapp","2100",,"3.1","2.1","2101319.8","2.1","0"
"vctip","17464","0.578125","56.3","36","4748","36","0"
"Widgets","4456","1.234375","72","13.8","2150763.2","13.8","0"
"WidgetService","11132","0.5","33.7","5.5","2101424.1","5.5","0"
"wininit","1660",,"1.6","1.6","2101332.3","1.6","0"
"winlogon","1768",,"3.9","2.9","2101384.7","2.9","0"
"WmiApSrv","17852",,"1.5","2.1","2101323.8","2.1","0"
"WmiPrvSE","6456",,"32.9","97","2101460","97","0.1"
"WmiPrvSE","6520",,"54","49.7","2101432.5","49.7","0"
"WmiPrvSE","14488",,"32.9","24.5","2101356.7","24.5","0"
"wslservice","5504",,"5.1","6.9","2101396","6.9","0"
"WUDFHost","3196",,"0.2","2.1","2101332.7","2.1","0"
