ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\tinyllama_fresh.gguf
GGUF version: 3
Tensor count: 201
Tensor data offset: 1709440

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,65536000
attention,88,115388416
ffn,88,761311232
output,24,157812736

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.21.attn_output.weight,Q4_0,2048x2048,459154816,4194304,output
blk.21.attn_q.weight,Q4_0,2048x2048,461514112,4194304,attention
blk.21.attn_v.weight,Q4_0,2048x256,463873408,524288,attention
blk.3.attn_norm.weight,F32,2048,464168320,2048,attention
blk.3.ffn_down.weight,Q4_0,5632x2048,464176512,11534336,ffn
blk.3.ffn_gate.weight,Q4_0,2048x5632,470664576,11534336,ffn
blk.3.ffn_up.weight,Q4_0,2048x5632,477152640,11534336,ffn
blk.3.ffn_norm.weight,F32,2048,483640704,2048,ffn
blk.3.attn_k.weight,Q4_0,2048x256,483648896,524288,attention
blk.3.attn_output.weight,Q4_0,2048x2048,483943808,4194304,output
blk.3.attn_q.weight,Q4_0,2048x2048,486303104,4194304,attention
blk.3.attn_v.weight,Q4_0,2048x256,488662400,524288,attention
blk.4.attn_norm.weight,F32,2048,488957312,2048,attention
blk.4.ffn_down.weight,Q4_0,5632x2048,488965504,11534336,ffn
blk.4.ffn_gate.weight,Q4_0,2048x5632,495453568,11534336,ffn
blk.4.ffn_up.weight,Q4_0,2048x5632,501941632,11534336,ffn
blk.4.ffn_norm.weight,F32,2048,508429696,2048,ffn
blk.4.attn_k.weight,Q4_0,2048x256,508437888,524288,attention
blk.4.attn_output.weight,Q4_0,2048x2048,508732800,4194304,output
blk.4.attn_q.weight,Q4_0,2048x2048,511092096,4194304,attention
blk.4.attn_v.weight,Q4_0,2048x256,513451392,524288,attention
blk.5.attn_norm.weight,F32,2048,513746304,2048,attention
blk.5.ffn_down.weight,Q4_0,5632x2048,513754496,11534336,ffn
blk.5.ffn_gate.weight,Q4_0,2048x5632,520242560,11534336,ffn
blk.5.ffn_up.weight,Q4_0,2048x5632,526730624,11534336,ffn
blk.5.ffn_norm.weight,F32,2048,533218688,2048,ffn
blk.5.attn_k.weight,Q4_0,2048x256,533226880,524288,attention
blk.5.attn_output.weight,Q4_0,2048x2048,533521792,4194304,output
blk.5.attn_q.weight,Q4_0,2048x2048,535881088,4194304,attention
blk.5.attn_v.weight,Q4_0,2048x256,538240384,524288,attention
blk.6.attn_norm.weight,F32,2048,538535296,2048,attention
blk.6.ffn_down.weight,Q4_0,5632x2048,538543488,11534336,ffn
blk.6.ffn_gate.weight,Q4_0,2048x5632,545031552,11534336,ffn
blk.6.ffn_up.weight,Q4_0,2048x5632,551519616,11534336,ffn
blk.6.ffn_norm.weight,F32,2048,558007680,2048,ffn
blk.6.attn_k.weight,Q4_0,2048x256,558015872,524288,attention
blk.6.attn_output.weight,Q4_0,2048x2048,558310784,4194304,output
blk.6.attn_q.weight,Q4_0,2048x2048,560670080,4194304,attention
blk.6.attn_v.weight,Q4_0,2048x256,563029376,524288,attention
blk.7.attn_norm.weight,F32,2048,563324288,2048,attention
blk.7.ffn_down.weight,Q4_0,5632x2048,563332480,11534336,ffn
blk.7.ffn_gate.weight,Q4_0,2048x5632,569820544,11534336,ffn
blk.7.ffn_up.weight,Q4_0,2048x5632,576308608,11534336,ffn
blk.7.ffn_norm.weight,F32,2048,582796672,2048,ffn
blk.7.attn_k.weight,Q4_0,2048x256,582804864,524288,attention
blk.7.attn_output.weight,Q4_0,2048x2048,583099776,4194304,output
blk.7.attn_q.weight,Q4_0,2048x2048,585459072,4194304,attention
blk.7.attn_v.weight,Q4_0,2048x256,587818368,524288,attention
blk.8.attn_norm.weight,F32,2048,588113280,2048,attention
blk.8.ffn_down.weight,Q4_0,5632x2048,588121472,11534336,ffn
blk.8.ffn_gate.weight,Q4_0,2048x5632,594609536,11534336,ffn
blk.8.ffn_up.weight,Q4_0,2048x5632,601097600,11534336,ffn
blk.8.ffn_norm.weight,F32,2048,607585664,2048,ffn
blk.8.attn_k.weight,Q4_0,2048x256,607593856,524288,attention
