ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\Qwen3.5-40B-Q4_K_M.gguf
GGUF version: 3
Tensor count: 1275
Tensor data offset: 11020224

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,1271398400
attention,360,7801909248
ffn,288,25669140480
norm,96,491520
output,26,2026378240
ssm,432,2300329728
conv,72,2949120

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.11.attn_k.weight,Q4_K,5120x1024,4444368704,5242880,attention
blk.11.attn_k_norm.weight,F32,256,4447317824,256,attention
blk.11.attn_norm.weight,F32,5120,4447318848,5120,attention
blk.11.attn_output.weight,Q4_K,6144x5120,4447339328,31457280,output
blk.11.attn_q.weight,Q4_K,5120x12288,4465034048,62914560,attention
blk.11.attn_q_norm.weight,F32,256,4500423488,256,attention
blk.11.attn_v.weight,Q6_K,5120x1024,4500424512,5242880,attention
blk.11.ffn_down.weight,Q6_K,17408x5120,4504725312,89128960,ffn
blk.11.ffn_gate.weight,Q4_K,5120x17408,4577838912,89128960,ffn
blk.11.ffn_up.weight,Q4_K,5120x17408,4627973952,89128960,ffn
blk.11.post_attention_norm.weight,F32,5120,4678108992,5120,norm
blk.12.attn_gate.weight,Q4_K,5120x6144,4678129472,31457280,attention
blk.12.attn_norm.weight,F32,5120,4695824192,5120,attention
blk.12.attn_qkv.weight,Q5_K,5120x10240,4695844672,52428800,attention
blk.12.ffn_down.weight,Q4_K,17408x5120,4731889472,89128960,ffn
blk.12.ffn_gate.weight,Q4_K,5120x17408,4782024512,89128960,ffn
blk.12.ffn_up.weight,Q4_K,5120x17408,4832159552,89128960,ffn
blk.12.post_attention_norm.weight,F32,5120,4882294592,5120,norm
blk.12.ssm_a,F32,48,4882315072,48,ssm
blk.12.ssm_alpha.weight,Q4_K,5120x48,4882315264,245760,ssm
blk.12.ssm_beta.weight,Q4_K,5120x48,4882453504,245760,ssm
blk.12.ssm_conv1d.weight,F32,4x10240,4882591744,40960,conv
blk.12.ssm_dt.bias,F32,48,4882755584,48,ssm
blk.12.ssm_norm.weight,F32,128,4882755776,128,ssm
blk.12.ssm_out.weight,Q4_K,6144x5120,4882756288,31457280,ssm
blk.13.attn_gate.weight,Q4_K,5120x6144,4900451008,31457280,attention
blk.13.attn_norm.weight,F32,5120,4918145728,5120,attention
blk.13.attn_qkv.weight,Q5_K,5120x10240,4918166208,52428800,attention
blk.13.ffn_down.weight,Q4_K,17408x5120,4954211008,89128960,ffn
blk.13.ffn_gate.weight,Q4_K,5120x17408,5004346048,89128960,ffn
blk.13.ffn_up.weight,Q4_K,5120x17408,5054481088,89128960,ffn
blk.13.post_attention_norm.weight,F32,5120,5104616128,5120,norm
blk.13.ssm_a,F32,48,5104636608,48,ssm
blk.13.ssm_alpha.weight,Q4_K,5120x48,5104636800,245760,ssm
blk.13.ssm_beta.weight,Q4_K,5120x48,5104775040,245760,ssm
blk.13.ssm_conv1d.weight,F32,4x10240,5104913280,40960,conv
blk.13.ssm_dt.bias,F32,48,5105077120,48,ssm
blk.13.ssm_norm.weight,F32,128,5105077312,128,ssm
